Locus tag,Gene name
Ga0242637_11214,NNP family nitrate/nitrite transporter-like MFS transporter
Ga0242637_11215,NNP family nitrate/nitrite transporter-like MFS transporter
Ga0242637_11209,nitrate reductase gamma subunit
Ga0242637_11210,respiratory nitrate reductase chaperone NarJ 
Ga0242637_11211,respiratory nitrate reductase beta subunit 
Ga0242637_11212,nitrate reductase alpha subunit
Ga0242637_113252,nitrite reductase (NO-forming)
Ga0242637_111695,nitrite reductase (cytochrome c-552)
Ga0242637_111696,cytochrome c nitrite reductase small subunit
Ga0242637_11105,nitric oxide reductase NorZ apoprotein 
